PDWtype, DwellIndex, PulseID, UserData, MaxChan, Bin, PW, TOA, FirstFreq, LastFreq, LogAmpA, LogAmpB, LogAmpC, LogAmpD, HLQAmpA, HLQAmpB, HLQAmpC, HLQAmpD, DiffPhaseA, DiffPhaseB, DiffPhaseC, DiffPhaseD, SatDet, Blanking, QPSK, BPSK, PMOP, HLQ, PoP, FE, RE, CH, OV, CoarseTOD, CoarseTOA, FMOPRate_kHz_Per_usec, FMOPExcursion, PMOPTrans, PMOPMinChip, RTTP_TOA_Match_Index1, RTTP_TOA_Match_Index2, RTTP_TOA_Match_Index3, RTTP_TOA_Cell_Index, TunePhaseStep, IFMode, Decim, PMOPWindowLen, FMOPWindowLen
1, 3, 45, 0, 1, 9, 0.0000004154, 0.0916281979, 2991691040.0390625000, 2991691040.0390625000, 55.5429687500, 58.6484375000, 57.9492187500, 54.6621093750, 0, 0, 0, 0, 0, 17.5726318359, 13.8757324219, 197.3034667969, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 46, 0, 1, 9, 0.0000007018, 0.0933781771, 2991968261.7187500000, 2991968261.7187500000, 55.2675781250, 58.3769531250, 57.6601562500, 54.4023437500, 0, 0, 0, 0, 0, 16.7980957031, 13.8867187500, 196.9079589844, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 47, 0, 1, 10, 0.0000003997, 0.0951284688, 3078499145.5078125000, 3078499145.5078125000, 54.1328125000, 56.7734375000, 56.3378906250, 51.6875000000, 0, 0, 0, 0, 0, 44.6374511719, 58.9416503906, 211.5692138672, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 48, 0, 1, 11, 0.0000001875, 0.0968782871, 3085174072.2656250000, 3085174072.2656250000, 53.9746093750, 56.8730468750, 56.2441406250, 51.3398437500, 0, 0, 0, 0, 0, 50.3283691406, 65.7916259766, 215.2825927734, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 49, 0, 1, 9, 0.0000004160, 0.0986282044, 2993948730.4687500000, 2993948730.4687500000, 55.4550781250, 58.5371093750, 57.9375000000, 54.6152343750, 0, 0, 0, 0, 0, 17.4572753906, 14.9688720703, 197.9626464844, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 50, 0, 1, 11, 0.0000001725, 0.1003781556, 3069103271.4843750000, 3069103271.4843750000, 46.7656250000, 49.0937500000, 48.8476562500, 44.5019531250, 0, 0, 0, 0, 0, 41.9183349609, 51.3830566406, 209.6466064453, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 51, 0, 1, 10, 0.0000003333, 0.1003782917, 3048753662.1093750000, 3048753662.1093750000, 54.6445312500, 57.3613281250, 56.4550781250, 52.5859375000, 0, 0, 0, 0, 0, 31.8218994141, 37.8424072266, 204.7521972656, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 52, 0, 1, 10, 0.0000007051, 0.1021281810, 3051816284.1796875000, 3051816284.1796875000, 54.2148437500, 56.8613281250, 55.9550781250, 52.1269531250, 0, 0, 0, 0, 0, 34.9914550781, 41.3635253906, 205.8453369141, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 53, 0, 1, 9, 0.0000006986, 0.1038781875, 3004627075.1953125000, 3004627075.1953125000, 55.2382812500, 58.0781250000, 57.6718750000, 54.1855468750, 0, 0, 0, 0, 0, 17.1496582031, 18.7976074219, 200.7421875000, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 54, 0, 1, 9, 0.0000007064, 0.1056281810, 3018426635.7421875000, 3018426635.7421875000, 54.4316406250, 57.3144531250, 56.8378906250, 52.7460937500, 0, 0, 0, 0, 0, 20.8520507813, 25.2026367188, 204.8730468750, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 55, 0, 1, 9, 0.0000004219, 0.1073782135, 3023084472.6562500000, 3023084472.6562500000, 54.4511718750, 57.3027343750, 56.8027343750, 52.6269531250, 0, 0, 0, 0, 0, 19.6051025391, 26.8286132813, 203.5382080078, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 56, 0, 1, 9, 0.0000006914, 0.1108781979, 2994258178.7109375000, 2994258178.7109375000, 55.1914062500, 58.3886718750, 57.6601562500, 54.3144531250, 0, 0, 0, 0, 0, 17.4957275391, 14.7711181641, 197.8143310547, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 57, 0, 1, 9, 0.0000007025, 0.1126281882, 3011141601.5625000000, 3011141601.5625000000, 55.0859375000, 57.7949218750, 57.4550781250, 53.6738281250, 0, 0, 0, 0, 0, 18.1164550781, 21.9561767578, 202.9779052734, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 58, 0, 1, 10, 0.0000004167, 0.1161282227, 3035683959.9609375000, 3035683959.9609375000, 55.5605468750, 58.4726562500, 57.6132812500, 53.4570312500, 0, 0, 0, 0, 0, 23.8897705078, 31.4593505859, 203.0218505859, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 59, 0, 1, 9, 0.0000004206, 0.1178782188, 2991186035.1562500000, 2991186035.1562500000, 55.5722656250, 58.5781250000, 58.0371093750, 54.6621093750, 0, 0, 0, 0, 0, 15.4248046875, 13.4362792969, 195.9136962891, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 60, 0, 1, 10, 0.0000006921, 0.1196282083, 3050828979.4921875000, 3050828979.4921875000, 54.2148437500, 56.9140625000, 55.9960937500, 52.0800781250, 0, 0, 0, 0, 0, 32.7502441406, 39.2926025391, 205.3729248047, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
1, 3, 61, 0, 1, 9, 0.0000007044, 0.1213782051, 3012480102.5390625000, 3012480102.5390625000, 54.7265625000, 57.4843750000, 57.0957031250, 53.0800781250, 0, 0, 0, 0, 0, 17.7923583984, 22.2912597656, 202.6977539063, 0, 0, 0, 0, 0, 0, 0, 1, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1, 7, 7
